,composition,Eg (eV)
3335,Li6Fe2Te8O22,1.98
3336,CsAg2TeS6,2.04
3337,KAg11V4O16,2.0
3338,Ce2Se3,1.75
3340,La2MnNiO6,1.4
3341,GaAs0.7P0.3,1.8
3342,Li3PS4,3.68
3343,SrNd2S4,2.45
3344,Hg0.796Cd0.204Te,0.06
3346,HgGa2S4,2.84
3347,TlCr5S3Se5,0.8
3349,HgSe,0.12
3350,CdI2,3.8
3351,GeAs,1.01
3352,Li3Bi,0.7
3354,Rb3Sb2Br9,2.48
3355,SnO2,3.6
3356,LaS1.86Se0.14,2.5
3357,Ag2GeTe3,0.25
3358,Dy4S4Te3,1.43
3359,Ca2CdAs2,0.95
3361,TlAsS2,2.15
3362,P2Se3,2.4
3363,Ga0.8Al0.2P,2.3
3364,H6PtI6O20,2.4
3365,Li2In2SiS6,3.61
3367,SnCl2,3.9
3368,CsInGeS4,2.1
3369,Ba5Ga4Se10,2.2
3370,KSbSe2,1.37
3371,In0.3Ga0.7P,2.2
3372,Rb2Cu2Sn2Se6,1.04
3374,InSb0.6As0.4,0.13
3375,CdBr2,4.47
3376,CsLu7Se11,1.78
3377,Pb0.999Se0.999Sn0.001Se0.001,0.24
3378,Cs3W3PO13,3.27
3379,Lu2O3,5.5
3380,SrZrS3,1.0
3381,RbAg2SbS4,2.3
3382,Cd4Sb3,1.25
3383,Li2B6,2.0
3385,K2ZnTe2,3.0
3386,AgSbTe2,0.35
3387,Pb6B2MoO12,2.9
3388,Eu3P2,1.2
3390,AgGaGe3Se8,2.17
3391,CuAlS2,3.5
3392,Ba3Dy2P4S16,3.28
3393,CuZn2InSe4,1.1
3394,PdSe,0.2
3397,Cu0.05Ga1.95S2.95,2.7
3400,CuInSe2,0.95
3401,NaSbSe2,1.2
3404,Sb5O7I,1.95
3405,HgBrCl,3.4
3406,RbGaSnSe4,1.88
3407,Na3MoO4F,4.77
3410,Na3Sb,1.17
3411,TaGaSe2,2.15
3412,Cu2CdSnS4,1.37
3413,KBr,7.6
3415,PrTe1.9,1.0
3416,Hg3S2Bi2Cl8,3.26
3418,AgInTe2,0.96
3419,TlGaS2,3.4
3420,FeSi2,0.85
3421,Ba2InSmTe5,1.36
3422,SmB6,3.5
3423,Ga0.99In0.01As,1.4
3424,Rb2Sn3Sb2S10,2.33
3425,BiOBr,2.92
3426,Mn11Si19,0.66
3427,HgTe,0.19
3428,Ba4Ga2Se8,1.63
3429,Mg2Ge,1.67
3432,CoSbS,0.5
3433,Pb0.99TeTl0.01,0.59
3435,K3SmAs2S8,2.2
3436,EuAl2O4,2.74
3437,Cr2O3,3.4
3438,LiBr,7.95
3439,K3Ga3Ge7Se20,2.23
3440,Yb4Sb2S11.25,1.71
3441,Ca2Si,1.9
3442,Pb14B2O14Br6,2.62
3443,ReSe2,0.99
3444,DyTe1.45,0.6
3446,SbI3,2.41
3448,Cu0.05Ga1.95Se2.95,1.96
3449,Nd1.33Lu0.67S3,1.5
3450,LaIn3S6,1.03
3451,CsGaSn2Se6,1.87
3452,CsKP2Se8,2.36
3453,MgO,7.83
3454,SnTe,0.33
3455,CuCl,3.27
3456,IrP2,1.1
3458,YbGa2S4,2.3
3459,CuSmSe2,2.1
3460,InSb0.8As0.2,0.21
3462,Cd4P2Cl3,2.17
3463,SrCrO4,2.45
3465,Ag2S,0.87
3466,Ag3AsS3,2.18
3468,AgGaSe2,1.83
3469,AgSbSe2,0.85
3472,CdAs2,1.14
3473,CdGa2Se4,2.43
3474,CdP2,2.02
3477,CdSe,1.83
3478,CdTe,1.65
3480,CuGaSe2,1.6
3481,Dy2S3,3.0
3482,GaN,3.5
3483,GaS,2.52
3484,GaSe,2.13
3487,In4Te3,0.5
3489,InSe,1.27
3490,KI,6.08
3491,Mg3As2,2.55
3492,NaBiSe2,0.32
3493,PbS,0.3
3494,PbTe,0.34
3495,RbI,6.05
3496,Sb2S3,1.63
3497,SnS,1.1
3498,SnSe,0.91
3499,Tl2Te3,0.51
3500,TlCl,3.21
3501,TlSbS2,1.88
3502,Zn3As2,0.86
3503,ZnGeAs2,1.16
3504,ZnO,3.31
3506,Bi4PdSe4O12,2.06
3507,Cd3In2S2Te4,1.23
3508,SbSI,1.99
3509,Pb0.8Se0.8Ge0.2Te0.2,0.36
3510,Ag1.75InSb5.75Se11,0.94
3511,K2Dy2Ti3O10,3.38
3512,ZrS2,2.75
3513,CaTe,4.07
3516,Ir0.67S2,2.0
3517,Pb2MnO4,1.5
3518,GaSe,2.05
3519,SrZnSO,3.1
3520,Ge0.653Si0.347,1.91
3521,InAs,0.46
3522,Cu2Ta4O11,2.6
3523,K4GeS4,0.8
3524,Ge0.6Si0.4,0.9
3525,AsI3,2.54
3526,Mg2Sn,0.28
3527,K2CsSb,1.0
3528,Ho2Mo3O12,1.68
3529,Li4HgGe2S7,2.75
3530,BaGa2GeS6,3.23
3531,InP,1.27
3533,SiB3,2.0
3534,PbTe,0.62
3535,RbI,6.1
3536,KSbS2,1.8
3537,SbSeBr,1.84
3538,As2Se3,1.77
3539,CoSb2,0.17
3540,Hg0.8Cd0.2Se,0.95
3541,Cu2Te,1.02
3542,LiMgN,3.2
3544,Sb2O3,3.2
3546,PbTe,0.31
3547,NaBiS2,0.4
3548,Hg6P6In2Cl9,3.13
3549,GaS,2.62
3550,Sn3WO6,2.49
3551,TlBr,3.02
3553,InSb,0.26
3554,CdSnO3,3.0
3555,Pb0.8Se0.8Sn0.2Te0.2,0.14
3556,CuGaS2,2.42
3557,PrF3,5.3
3558,Ru2Ge3,0.52
3559,SmTe,0.38
3560,CsZn2B3O7,5.69
3561,Ga0.9Sb0.9Cd0.1Te0.1,0.78
3562,NH7Se2O6,4.81
3563,TlBr,3.24
3564,KPSe6,2.16
3565,ZnS,3.76
3566,Ga0.85Al0.15As,1.6
3567,GaAs,1.43
3568,Ga0.05P0.05Zn0.95Se0.95,2.4
3569,KFeCuTe2,1.06
3570,AsBr3,2.6
3571,Zn0.5Hg0.5Se,0.6
3573,Bi2S3,1.3
3574,TlBr,3.1
3575,ReS2,1.0
3576,CdMoSb4O10,3.4
3577,PbCl2,3.94
3579,As2O3,4.0
3580,InSb,0.16
3581,Na2BaGeS4,3.7
3582,Ba2GaDyTe5,1.13
3583,NaB15,0.32
3585,Bi2Te2.97Se0.03,0.16
3586,AgBiS2,0.9
3587,SnGa2GeS6,2.04
3589,NiTe,0.23
3591,Pr2YbCuS5,1.25
3592,KInSnS4,2.3
3595,La2O2MnSe2,1.6
3597,RbTbSe2,2.5
3598,Zn0.5Cd0.5Se,2.9
3599,Na2Ge2Se5,2.38
3600,PbCrO4,2.25
3601,Ag0.5Pb1.75GeS4,1.83
3602,CsEr9Cd4Se18,2.09
3603,CdCl2,5.8
3604,ReS2,1.1
3605,Cu3TaS4,3.0
3606,Pb0.99Sn0.01Se,0.17
3608,AgCd3PS6,2.56
3609,Cu3YTe3,0.72
3610,TlInSe2,1.19
3611,Bi2Te2.7Se0.3,0.21
3612,CuGaTe2,1.18
3614,Tl2PrInSe4,0.93
3615,Gd2ZrS5,1.88
3616,Pr2S3,2.68
3617,PbBiO2Br,2.47
3618,YbS,1.1
3619,K6Cd4Sn3Se13,2.33
3620,Pb0.75Ge0.25Te,0.44
3621,CdSb,0.47
3622,BeTe,2.89
3623,Pb0.96TeGa0.04,0.37
3626,LiH3Se2O6,4.9
3627,BaLa2In2S7,1.87
3628,Li3Cs2B5O10,7.3
3629,TlScS2,1.51
3630,InSe,1.36
3633,K2Ge4Se8,1.8
3635,ZnGeN2,3.2
3636,KAsSe2,1.62
3637,GaN,3.3
3638,Cu2Te,1.04
3639,Dy2Mo3O12,1.92
3640,Li2PtO3,2.3
3642,Si2Te3,2.0
3643,Eu2SnSe5,1.07
3644,Ba6Sn6Se13,1.52
3645,As2S6,2.35
3649,Cs3Sb2I9,1.89
3651,Ag0.5Pb1.75GeSe4,1.51
3652,Pr2S3,2.6
3653,Sr2V3Se5O18,2.47
3654,InSe,1.19
3655,Nd2HfS5,0.7
3656,Nb6VSb3O25,3.2
3657,TeSe3,1.4
3659,Sn2BiSI5,1.32
3660,Ag3SbS3,1.77
3661,TlS,1.36
3663,GaSb,0.81
3665,PtSb2,0.4
3666,AgGaGeS4,3.0
3669,InS,1.9
3673,InSb,0.24
3674,KBiS2,0.86
3675,Cs4In8GeSe16,2.2
3676,Tl6CuTe2O10,2.3
3677,InPS4,3.12
3678,BaCuTeF,2.3
3679,Ge0.2Si0.8,1.1
3680,Ba5In4Te4S7,2.13
3681,CsMn4In5Se12,1.79
3682,CuInSe2,0.95
3683,PbN6,2.98
3684,LiSbS2,1.36
3685,GeS,1.61
3686,AlSb,1.69
3687,Be3N2,3.8
3688,AlSb,1.7
3689,Cs39Cl6Ga53Se96,2.74
3690,Zn0.43Cd0.57Se,2.9
3691,Ag2SnS3,1.26
3692,AlP,2.42
3694,Cs3Bi2I9,1.8
3696,PbS,0.29
3699,Cu3SbS4,0.8
3701,CuYO2,3.5
3704,CdS,2.4
3705,Zn0.65Hg0.35Se,1.0
3707,V2O5,2.49
3708,NaF,10.5
3710,VTeO5H,2.51
3711,CdAs2,1.2
3713,CsI,6.3
3714,Yb2O3,5.22
3715,Ba2InCeTe5,1.35
3716,CdTe,1.43
3717,In0.2As0.2Ga0.8P0.8,2.15
3719,PbCuSbS3,1.31
3720,Ba2CdB6O12,4.59
3721,Sn2BiS2I3,1.22
3722,GeSe,1.18
3723,As2Te3,1.68
3725,GaN,3.6
3727,GaSb,0.72
3729,PbSe,0.28
3730,Ag2VI3O11,2.16
3731,GaN,3.49
3732,LiSbSe2,0.68
3733,InSb,0.18
3734,Cs2ZnSn3Se8,2.12
3735,Zn4Sb3,1.2
3737,Eu2Ga2GeS7,2.3
3739,AlP,2.52
3740,La2Sr2PtO7.13,2.52
3741,KCu3S2,1.46
3744,SnGe,0.8
3745,Hg0.9Cd0.1Se,1.5
3746,Cu2O,2.67
3747,CdCuSe2O6,3.33
3748,PbTe,0.31
3749,AgP15,1.47
3750,SmSb,0.59
3751,IrAs2,1.0
3752,PbTe0.5Se0.5,0.29
3753,KScSe2O6,5.4
3754,CdGeP2,1.8
3755,Cu2Ta4O11,2.7
3756,ReS2,1.33
3757,Pr4InSbSe9,1.89
3758,Cd0.6Te0.6Al0.4Sb0.4,1.8
3759,Cu2Ta11O30,2.59
3760,Tl2TeI6,1.5
3761,La10OSe14,2.04
3762,NaNO2,3.1
3765,Bi2Mo3O12,2.9
3766,Se0.2Te0.8,0.4
3767,Ga0.2Al0.8P,2.43
3768,Ag3SbS3,2.17
3769,InSb0.2As0.8,0.12
3770,ZnSe,2.81
3771,MnAl3,0.58
3772,InN,2.11
3773,TaGaS2,2.54
3774,CuBr,2.99
3775,MgSe,5.6
3777,BaTeMo2O9,3.12
3778,Mg3N2,2.8
3779,Ba2InSbSe5,1.92
3782,Cs2PtI6O18,2.4
3783,BiSI,1.64
3784,EuCu2SnS4,1.85
3785,GaSe,2.16
3786,Na2BaGeSe4,2.25
3787,ZnS,3.54
3788,Sr3GeSb2Se8,0.75
3789,K2Ho4Cu4S9,2.43
3790,La2CoTiO6,1.02
3791,In0.8Al0.2P,1.7
3792,Zn3As2,1.11
3794,Ga0.1P0.1Zn0.9Se0.9,2.3
3795,LiBi4Nb3O12,3.0
3796,K3Ga3Ge7S20,3.25
3798,TlCl,3.2
3799,TcS2,1.0
3800,SnO,3.0
3801,GaTe,1.52
3802,GaAs0.75Sb0.25,0.65
3803,BaIr2Ge4Se6,1.33
3804,KInTe2O6,4.0
3806,Mg2Sn,0.18
3808,Ga1.001Sb0.999Te0.003,0.72
3811,Gd6Ge2.5S14,2.2
3812,KZrPSe6,2.0
3814,Ag3SbS3,2.2
3815,MnTe,1.25
3817,Ag3AsS3,1.86
3820,AgGaSe2,1.8
3822,AlP,2.5
3823,AlP,3.63
3824,As2S3,2.2
3826,As2S3,2.43
3827,Bi0.6Te3Sb1.4,0.2
3828,CdAs2,0.89
3829,CdGa2Se4,2.27
3830,CdGa2Se4,2.5
3831,CdP2,2.11
3832,CdS,2.57
3833,CdSb,0.49
3835,CdSe,2.18
3837,CdTe,1.49
3838,CdTe,1.52
3839,CuFeS2,0.53
3840,CuGaSe2,1.63
3841,Dy2S3,2.91
3842,GaAs,1.52
3843,GaAs,1.42
3846,GaAs,1.43
3847,GaN,3.8
3849,GaS,2.53
3850,GaSe,1.97
3851,GaSe,2.09
3853,GaTe,1.8
3854,GeSe,1.17
3855,GeSe2,2.36
3856,In4Te3,0.57
3857,InAs,0.36
3858,InAs,0.41
3859,InAs,0.4
3860,InAs,0.41
3861,InSe,1.18
3862,InSe,1.2
3863,InSe,1.32
3864,InSe,1.35
3865,KI,6.38
3866,Mg3As2,2.6
3867,NaBiSe2,0.28
3868,PbS,0.31
3869,PbS,0.29
3870,PbTe,0.19
3871,RbI,6.36
3873,Sb2S3,1.72
3874,Sb2S3,1.71
3875,SnS,1.2
3876,SnS,1.18
3878,Tl2Te3,0.48
3879,Tl2Te3,0.7
3880,TlCl,3.5
3881,TlSbS2,1.54
3882,Zn3As2,1.09
3883,Zn3As2,0.98
3885,ZnO,3.35
3886,ZnS,3.87
3887,ZnS,3.6
3888,ZnSe,2.67
3889,ZnSnP2,1.3
3890,ZnTe,2.39
3891,ZnTe,2.25
3892,ZnTe,2.29
3893,ZnSe,2.76
3894,ZnSnP2,1.66
3895,ZnTe,2.4
3896,AgCNO.65,0.0
3897,Al13Ru4,0.0
3899,HoMg2,0.0
3900,UAl4,0.0
3903,NaZr2TiF11.12,0.0
3904,ScRh,0.0
3906,Li3VOF5.1,0.0
3907,Ti2ZnS4,0.0
3908,KV6O11,0.0
3909,ErMg2,0.0
3910,CsAs2Ru2,0.0
3911,In2Pt,0.0
3912,Rh3Pb,0.0
3914,Si2SbO6,0.0
3915,ReBiO3,0.0
3916,MgSc,0.0
3917,Cu10Sb3,0.0
3918,Ce2Ti2O7,0.0
3920,Re3P4,0.0
3921,TiPO4,0.0
3922,SrCd,0.0
3923,NbOsPb,0.0
3924,ZrGeRu,0.0
3925,Y2Ru2O7,0.0
3926,La2Rh7,0.0
3927,Hf4Al3,0.0
3928,Dy2TlCd,0.0
3929,SrNi5As3,0.0
3930,Cr2SbTe,0.0
3931,DyNiSn,0.0
3932,Zn2SnN2,0.0
3934,Dy5Sn3,0.0
3935,Yb2MgS4,0.0
3936,Mg2RhAu,0.0
3938,NdAu3,0.0
3940,Tl16O15F17,0.0
3941,DySi2Cu2,0.0
3942,Ga5Pd13,0.0
3943,CeTl3,0.0
3944,Ni3S4,0.0
3945,Sr2MgReO6.225,0.0
3946,NaLu(Pd3O4)2.200,0.0
3947,Na2Tl,0.0
3948,Tc3Pd,0.0
3949,Ce3Ta(ClO2)3.176,0.0
3950,BaAlCu4O7.186,0.0
3951,CrSiCu2,0.0
3952,Nd4MgRu,0.0
3953,Hf5CuPb3,0.0
3954,Lu2Mn12P7,0.0
3955,DyBiPt,0.0
3956,CrNiAs,0.0
3957,ZrMo3,0.0
3958,Cu4Pd,0.0
3959,Li2Ga,0.0
3960,La3B2N4,0.0
3962,Au3S,0.0
3963,RbCd13,0.0
3964,TbBa2IrO6.225,0.0
3965,Cu9O13,0.0
3967,SrV13O18,0.0
3968,NaNi2O3,0.0
3969,Th2CrN3,0.0
3972,Mg17Al11Pd,0.0
3973,EuZn,0.0
3974,ReRuOs,0.0
3975,Y2Ge5Ir3,0.0
3976,Zr3Ir,0.0
3977,Li4Cu(PO4)2.7,0.0
3979,Ni2Mo3N,0.0
3981,NaSi2Pd3,0.0
3982,Y3Ge4,0.0
3983,Mg2AgIr,0.0
3984,ThAl,0.0
3986,Sc2GaIr,0.0
3987,GdInIr,0.0
3989,LiGaAg2,0.0
3990,YbH3O3,0.0
3991,ThPSe,0.0
3992,SmAg,0.0
3993,Cr10Sb3Te7,0.0
3994,ZrAl5Ni2,0.0
3995,ZrPd3,0.0
3996,Te2Au,0.0
3997,Sm6Br13,0.0
3998,Ba5Ge3,0.0
3999,La2Si5Rh3,0.0
4000,Nd2IrPd,0.0
4001,Ag7NO11,0.0
4003,Nd3Ge5,0.0
4004,ReIr3,0.0
4006,MgAs4Rh6,0.0
4007,CeSbO3,0.0
4008,NdCo2Si2,0.0
4010,Rb3Mn,0.0
4011,Ba5Al2Ge7,0.0
4012,LiThAu2,0.0
4013,Sn5B2Rh6,0.0
4014,Tl2CdTe4,0.0
4015,EuCsF3,0.0
4016,YbNd3,0.0
4018,Ag3RuO4,0.0
4019,LiAlRh2,0.0
4020,LaAl4,0.0
4021,PrMo3,0.0
4024,YCu3(WO3)4.2,0.0
4025,La5SmS8,0.0
4027,USi2Ni2,0.0
4028,RbMnTe2,0.0
4029,MnSbPd,0.0
4030,Ti13S24,0.0
4031,Sm2CuAs3O.62,0.0
4034,Al2Cu3Se6,0.0
4035,Sm2Pd2Pb,0.0
4036,CaZn3,0.0
4037,U2AlCo3,0.0
4038,LiSn4Ir,0.0
4039,PmSnRh2,0.0
4040,HfSiPt,0.0
4041,ScSi3Ni,0.0
4042,YHg2,0.0
4043,Ag9Ge2IO8.12,0.0
4044,U2Al3C4,0.0
4045,Li2Ni2SbO6.64,0.0
4046,Th2In,0.0
4050,Ca3Sn2S7,0.0
4051,VCu3(PO4)4.6,0.0
4052,RbU2SbS8.8,0.0
4053,YMgGa,0.0
4054,Ni3Ge,0.0
4055,Ca6Cu2Sn7,0.0
4058,YSi2Ru2,0.0
4059,LaIn,0.0
4060,Re3F,0.0
4061,NdAgPb,0.0
4062,Sr2ZnReO6.87,0.0
4063,Mn3Cr3(TeO8)2.8,0.0
4066,CaVO2,0.0
4067,ICl2,0.0
4068,Ba3Te,0.0
4069,NdSi2Ir2,0.0
4070,MnTcOs,0.0
4072,Zn3Cu,0.0
4075,Nd3Ni13B2,0.0
4076,InPt,0.0
4078,CaTiO2,0.0
4079,NaLi3,0.0
4080,VTc,0.0
4082,LiMnP2O7.11,0.0
4084,YZn5,0.0
4085,Li4FeNi3O8.2,0.0
4087,TiFe2Sb,0.0
4088,EuMg2Bi2,0.0
4091,Rb2FeI4,0.0
4092,Ba3ZrRu2O9.194,0.0
4093,Gd3Al2Ni6,0.0
4094,LaAl12O19,0.0
4096,Na2Ti2Sb2O.139,0.0
4097,LiCa2Mg,0.0
4099,BaMnO3,0.0
4100,YDyAg2,0.0
4101,ReSn3,0.0
4102,Cu25Se26,0.0
4104,HoCu4Pd,0.0
4105,CsIrO3,0.0
4106,Cs2Mo15S19,0.0
4108,Mn5Ge2,0.0
4110,Fe2O2F3,0.0
4111,La2Ni5B4,0.0
4112,LaIn2Ir,0.0
4113,Cs5Mo21Se23,0.0
4114,Ti4ZnO8,0.0
4116,Tl5Te3,0.0
4119,ZnSb3,0.0
4120,GaFeNi2,0.0
4122,ErCu2Ge2,0.0
4124,V12P7,0.0
4125,LiMnO2,0.0
4126,Dy12Co7,0.0
4127,Sc5Pb3,0.0
4128,LiCu2Ge,0.0
4129,Cu3Se2(ClO3)2.12,0.0
4130,SmHoZn2,0.0
4131,LiCu3O3,0.0
4132,BaAs2Pd2,0.0
4134,CeInIr,0.0
4135,Dy2CuOs,0.0
4136,Y2C3,0.0
4137,NaZrCuTe3.62,0.0
4138,HoMgAu2,0.0
4140,CuCN2,0.0
4141,La4In5S13,0.0
4142,YB2C,0.0
4143,PW5O17,0.0
4144,RbC8,0.0
4145,YErRh2,0.0
4146,MnP2,0.0
4149,FeSn,0.0
4150,Nb3Te,0.0
4152,MgSbF6,0.0
4153,Li2Ni3O6,0.0
4156,AgAu2S2,0.0
4157,ThRu3C,0.0
4159,Na2VCuF7.62,0.0
4160,NaTi5Se8,0.0
4161,Yb3Tc,0.0
4162,Cr2GeC,0.0
4164,Ca3Au4,0.0
4165,ZnIrO3,0.0
4166,HoCdCu4,0.0
4167,MgInAg2,0.0
4169,Lu2TlCd,0.0
4171,Na2SO4,0.0
4172,Al6Ru,0.0
4173,DyIr2,0.0
4174,Nb3Bi,0.0
4175,Mn3Al10,0.0
4176,ScCu2,0.0
4179,CaTi4O8,0.0
4182,NdSb,0.0
4183,Sm4U4O17,0.0
4185,LiSnAu,0.0
4187,CoAsRh,0.0
4188,Sm2AgRu,0.0
4189,MnCu2Sn,0.0
4190,K3UF3,0.0
4191,Sm2AlCd,0.0
4192,Na2Cr7O14,0.0
4193,TlSn,0.0
4195,TlCoBi,0.0
4196,UAl3,0.0
4197,Er2Ga9Co3,0.0
4199,FeP,0.0
4200,La2Pr2O7,0.0
4201,V2TcRu,0.0
4202,NdRe4Si2,0.0
4203,CaAg2Ge2,0.0
4204,HfCo2Si2,0.0
4205,LaSi2Ru,0.0
4206,Rb3Sm,0.0
4207,Si2Ni6B,0.0
4208,LiTlPd2,0.0
4209,Ga2NiS4,0.0
4210,CsTiCl3,0.0
4211,ZrNi4P2,0.0
4212,FeAg3(CN)6.162,0.0
4213,Bi2O5,0.0
4215,Ce2SiSeO4.57,0.0
4216,PrFeGe2,0.0
4219,Tm2In,0.0
4221,Sm3Al,0.0
4222,TmAu,0.0
4223,Sc2Al3Ru,0.0
4224,U3Se4,0.0
4225,Ce5Si3,0.0
4226,Pm2LiGa,0.0
4227,SmBPd3,0.0
4228,Mg5Ti13O30,0.0
4229,ZrSiTe,0.0
4230,HoNiGe,0.0
4231,LuSiIr,0.0
4232,KRuO4,0.0
4233,KAgF3,0.0
4234,Al9Ir2,0.0
4235,ZrRh,0.0
4237,Ba2LiFe2N3.15,0.0
4238,Hf3Ni4Ge4,0.0
4239,Na3In2Au,0.0
4240,La2In,0.0
4241,P2H12N7Cl.2,0.0
4242,Nd3Ge2Ru2,0.0
4243,Ho4Ga16Co3,0.0
4244,Ta22Cu3S36,0.0
4245,Ti3PO7,0.0
4246,Te3MoWS.156,0.0
4247,TaF3,0.0
4248,YbSn2Pd,0.0
4249,LiLu2Ru,0.0
4250,Nb4Co2PdSe12.12,0.0
4251,Mg3Mn2Al18,0.0
4252,Pr2Ir2O7,0.0
4253,Li8PrO6,0.0
4254,DyInAu,0.0
4255,Yb2SrS4,0.0
4257,Na2In5Au6,0.0
4258,CeCo2As2,0.0
4259,EuPPt,0.0
4260,Co5Ge7,0.0
4261,HoMn6Sn6,0.0
4262,Li17Ti20O40,0.0
4265,SiHg3,0.0
4266,CdPt,0.0
4267,HoBi2O6,0.0
4268,PmCdPd2,0.0
4269,Tm2ZnGa,0.0
4270,Al2CoIr,0.0
4271,MgCo2(PO5)2.70,0.0
4272,Sn3P3O13,0.0
4274,BaZn5,0.0
4275,Ge5Te8As2,0.0
4276,Hf3Sb,0.0
4277,Hf2Al3C4,0.0
4279,Zn3N2,0.0
4280,Ba2Ce2O5,0.0
4281,LiAl2Tc,0.0
4283,LuUO3,0.0
4284,U2Zn17,0.0
4287,Ba2Cu5F14,0.0
4288,Sr2Cu(ClO)2.139,0.0
4289,YbLaZn2,0.0
4290,ZrNiGe,0.0
4292,DyGe2Ru2,0.0
4293,Mg2PdAu,0.0
4294,BaNi2P4,0.0
4295,RbNa2NiO2.139,0.0
4296,HoMgZn2,0.0
4297,Ba4Si20Au3,0.0
4299,Hf2S,0.0
4301,MgCuSn,0.0
4302,YbIn4Ni,0.0
4303,Sm2IrPd,0.0
4305,MgFe4O8,0.0
4307,ThSi2Ru2,0.0
4308,USeS,0.0
4309,Er2C3,0.0
4310,Pr3Al4Si6,0.0
4311,TmBRh3,0.0
4313,DySn3,0.0
4314,EuSbO3,0.0
4315,Tm3Ge4Pd4,0.0
4316,Li3Ni(SbO3)4.1,0.0
4317,DyFeSi,0.0
4320,NdCo2Ge2,0.0
4321,Lu2Al3Co,0.0
4323,CoMoP2,0.0
4324,Ce5CuSe8,0.0
4325,TbCo2B2,0.0
4326,ErRu3,0.0
4327,Al2Ru,0.0
4328,MnCdO2,0.0
4329,Rb3Ga,0.0
4330,U3Ni3Sn4,0.0
4331,TbAl8Fe4,0.0
4332,LuCdAg2,0.0
4333,Cr7C3,0.0
4334,BePd3,0.0
4336,LuBPd3,0.0
4337,Ca5Ir,0.0
4338,Ho2Au,0.0
4340,Th6Mg23,0.0
4341,Ca3Ga2Pt2,0.0
4342,PrGaAu2,0.0
4344,Mo3Pd2N,0.0
4345,Y2AlZn,0.0
4347,Na3W4O12,0.0
4348,Al9Rh2,0.0
4349,PH2NO2.67,0.0
4350,Li6Mn5FeO12.12,0.0
4351,CoH2(SN)4.14,0.0
4352,Ba3PN,0.0
4353,Zr5Al3C,0.0
4354,Li3Mn3WO8.166,0.0
4355,LiFe2(SiO4)2.1,0.0
4356,Sc6Te2Os,0.0
4357,NaBi3,0.0
4358,TmCu2S2,0.0
4359,Ce2Al2Co15,0.0
4360,LaSi2Ru2,0.0
4362,Ba3Co10O17,0.0
4363,LuScRh2,0.0
4364,LaBPt3,0.0
4366,Be12Pt,0.0
4367,LaZnAu2,0.0
4368,CsScBr3,0.0
4369,ErSiPd,0.0
4371,Hg2Rh,0.0
4372,Eu2BaMn2O7.63,0.0
4373,Mg2GeB2Rh5.127,0.0
4374,KHg11,0.0
4375,NdSmHg2,0.0
4376,PrInAu2,0.0
4378,CdRhF6,0.0
4380,Tb3Ge5,0.0
4381,Yb2HgPb,0.0
4382,YSi2Cu2,0.0
4384,MgIn3,0.0
4385,CeMg2Ag,0.0
4386,KNb2Se,0.0
4387,Fe4O7F,0.0
4388,EuCu9Sn4,0.0
4389,La2CuO4,0.0
4390,CaCo4S8,0.0
4391,MnCoSi,0.0
4393,Al10V,0.0
4394,EuPd,0.0
4395,YbMn2As2,0.0
4396,Ni23B6,0.0
4397,Gd2AlCo2,0.0
4399,YbI3O9,0.0
4400,BiAs2Os,0.0
4401,Yb4Ba3O9,0.0
4402,ZnFe2N2,0.0
4403,Zr6NiCl15,0.0
4404,Er5Si3,0.0
4405,Hg2Sb2O7,0.0
4406,Co5RuO8,0.0
4407,ScGe2,0.0
4408,Li3Si3Ag2,0.0
4409,Dy4CdRh,0.0
4410,BeGaRh2,0.0
4411,Ba3NaIrO6.167,0.0
4413,Mg3Rh,0.0
4414,Sr3Sn4Ir4,0.0
4415,TiMn2Ge,0.0
4417,Pm2LiAl,0.0
4418,Hf2Fe,0.0
4419,Cr3Ni(PO4)6.146,0.0
4420,PrAu,0.0
4421,TmMgAg2,0.0
4422,Ho5Ge10Rh4,0.0
4423,SrNi2(PO4)2.2,0.0
4425,CeB2Ir3,0.0
4426,Hf6PbO18,0.0
4427,LiLa2IrO6.14,0.0
4428,FeCo2Si,0.0
4429,Ca2CdPb,0.0
4430,YAlGe,0.0
4432,YbBO3,0.0
4435,UGeRh,0.0
4436,MgTi11O20,0.0
4438,TmAu2,0.0
4439,YbSi2Ni,0.0
4440,HoSb2,0.0
4441,AlFe2Si,0.0
4443,Li7Mo12S16,0.0
4446,Li2Fe3NiO8.160,0.0
4447,Tb2Ti3Ge4,0.0
4449,Hf5Te4,0.0
4451,Ge3Sb,0.0
4452,SmSb2,0.0
4453,Dy12C6I17,0.0
4454,Ti2TcNi,0.0
4455,TbP,0.0
4458,Mg3Al9FeSi5.189,0.0
4459,Co3H,0.0
4460,Tb3Mn2C6,0.0
4461,U11O5,0.0
4462,ThMn2Ge2,0.0
4463,TaNiB2,0.0
4464,TmBPd3,0.0
4465,Ti2Cd,0.0
4466,Ba3Al2Ge2,0.0
4468,Ti11O18,0.0
4469,Tb2AlCo2,0.0
4470,Zn2Sb3O8,0.0
4471,YH2,0.0
4472,Nb3In,0.0
4474,LaAl4Co,0.0
4475,Ba3N2,0.0
4477,Yb11Ni60C6,0.0
4478,NaAsO3,0.0
4479,Li3Cu4NiO8.12,0.0
4480,TbSnAu,0.0
4481,USbSe,0.0
4482,LiMnSiO4.63,0.0
